Symbol,country,currency,exchange,finnhubIndustry,marketCapitalization,name,shareOutstanding,ticker
ULCC,US,USD,NASDAQ NMS - GLOBAL MARKET,Airlines,1986.525212133262,Frontier Group Holdings Inc,218.06,ULCC
RPD,US,USD,NASDAQ NMS - GLOBAL MARKET,Technology,2328.3775184851534,Rapid7 Inc,60.0407,RPD
GPRK,CO,USD,"NEW YORK STOCK EXCHANGE, INC.",Energy ,629.8845340623852,GeoPark Ltd,60.0462,GPRK
WLYB,US,USD,"NEW YORK STOCK EXCHANGE, INC.",Media,2030.1780662932456,John Wiley & Sons Inc,55.7027,WLY
SHCR,US,USD,NASDAQ NMS - GLOBAL MARKET,Health Care,795.4199461538461,Sharecare Inc,353.52,SHCR
AGFY,US,USD,NASDAQ NMS - GLOBAL MARKET,Machinery,2.08594490322581,Agrify Corp,8.87636,AGFY
FOUR,US,USD,"NEW YORK STOCK EXCHANGE, INC.",Technology,5487.030236890624,Shift4 Payments Inc,55.896211,FOUR
FSM,CA,USD,TORONTO STOCK EXCHANGE,Metals & Mining,1282.602469,Fortuna Silver Mines Inc,290.182,FVI.TO
FGF,US,USD,NASDAQ NMS - GLOBAL MARKET,Insurance,18.975960647834277,FG Financial Group Inc,9.39404,FGF
NEGG,US,USD,NASDAQ NMS - GLOBAL MARKET,Retail,506.6089255839416,Newegg Commerce Inc,375.266,NEGG
VSTA,BR,BRL,NASDAQ NMS - GLOBAL MARKET,Diversified Consumer Services,275.52345291428566,Vasta Platform Ltd,82.491993,VSTA
KOSS,US,USD,NASDAQ NMS - GLOBAL MARKET,Consumer products,40.80268965426696,Koss Corp,9.1898,KOSS
VATE,US,USD,"NEW YORK STOCK EXCHANGE, INC.",Construction,237.1511821401274,Innovate Corp,78.7878,VATE
NYXH,BE,EUR,NYSE EURONEXT - EURONEXT BRUSSELS,Health Care,146.548405,Nyxoah SA,25.8463,NYXH.BR
TROO,HK,USD,NASDAQ NMS - GLOBAL MARKET,Electrical Equipment,341.95853750744345,TROOPS Inc,101.598,TROO
SEEL,US,USD,NASDAQ NMS - GLOBAL MARKET,Pharmaceuticals,79.62470241352939,Seelos Therapeutics Inc,120.17,SEEL
