Symbol,Date,Earnings_Estimate,Actual_Earnings
ULCC,2023-02-08 00:00:00,0.18,0.18
ULCC,2022-10-26 00:00:00,0.1,0.15
ULCC,2022-07-27 00:00:00,0.07,0.09
ULCC,2022-04-28 00:00:00,-0.43,-0.5
ULCC,2022-02-07 00:00:00,-0.28,-0.24
ULCC,2021-11-10 00:00:00,-0.21,-0.11
ULCC,2021-08-04 00:00:00,-0.29,-0.24
ULCC,2021-05-13 00:00:00,-0.8,-0.86
ULCC,2021-04-02 00:00:00,nan,nan
ULCC,2021-02-26 00:00:00,nan,nan
RPD,2023-02-08 00:00:00,0.18,0.35
RPD,2022-11-02 00:00:00,0.06,0.14
RPD,2022-08-03 00:00:00,-0.03,-0.01
RPD,2022-05-04 00:00:00,-0.15,-0.16
RPD,2022-02-09 00:00:00,-0.16,-0.16
RPD,2021-11-03 00:00:00,-0.07,0.06
RPD,2021-08-04 00:00:00,0.03,0.07
RPD,2021-05-06 00:00:00,-0.06,-0.03
RPD,2021-02-09 00:00:00,-0.08,-0.07
RPD,2020-11-04 00:00:00,-0.04,nan
RPD,2020-08-06 00:00:00,-0.01,0.05
RPD,2020-05-07 00:00:00,-0.1,-0.09
RPD,2020-02-10 00:00:00,-0.01,0.03
RPD,2019-11-05 00:00:00,-0.02,0.01
RPD,2019-08-01 00:00:00,-0.07,0.02
RPD,2019-05-02 00:00:00,-0.08,0.02
RPD,2019-02-07 00:00:00,-0.09,-0.05
RPD,2018-11-06 00:00:00,-0.13,-0.04
RPD,2018-08-06 00:00:00,-0.18,-0.13
RPD,2018-05-08 00:00:00,-0.2,-0.19
RPD,2018-02-12 00:00:00,-0.17,-0.17
RPD,2017-11-07 00:00:00,-0.17,-0.15
RPD,2017-08-07 00:00:00,-0.19,-0.14
RPD,2017-05-09 00:00:00,-0.24,-0.14
RPD,2017-02-09 00:00:00,-0.27,-0.13
RPD,2016-11-09 00:00:00,-0.2,-0.13
RPD,2016-08-08 00:00:00,-0.24,-0.22
RPD,2016-05-11 00:00:00,-0.24,-0.23
RPD,2016-02-10 00:00:00,-0.36,-0.31
RPD,2015-11-12 00:00:00,-0.35,-0.27
GPRK,2023-03-09 00:00:00,0.84,0.9
GPRK,2023-03-08 00:00:00,0.84,0.9
GPRK,2022-11-09 00:00:00,1.2,1.23
GPRK,2022-08-10 00:00:00,1.15,1.12
GPRK,2022-05-11 00:00:00,1.1,0.51
GPRK,2022-01-31 00:00:00,0.46,0.79
GPRK,2021-11-10 00:00:00,0.5,0.4
GPRK,2021-08-04 00:00:00,0.07,0.09
GPRK,2021-05-05 00:00:00,0.29,-0.17
GPRK,2021-03-10 00:00:00,-0.49,-0.57
GPRK,2020-11-04 00:00:00,0.38,-0.04
GPRK,2020-08-05 00:00:00,-0.5,-0.33
GPRK,2020-05-13 00:00:00,0.42,0.18
GPRK,2020-03-04 00:00:00,nan,nan
GPRK,2019-11-07 00:00:00,0.37,0.13
GPRK,2019-08-07 00:00:00,0.52,0.49
GPRK,2019-05-08 00:00:00,0.19,0.3
GPRK,2019-03-06 00:00:00,0.44,0.26
GPRK,2018-11-06 00:00:00,0.41,0.47
GPRK,2018-08-08 00:00:00,0.39,0.44
GPRK,2018-05-07 00:00:00,0.36,0.29
GPRK,2018-03-08 00:00:00,0.32,-0.05
GPRK,2017-11-16 00:00:00,0.14,-0.33
GPRK,2017-08-16 00:00:00,0.09,0.02
GPRK,2017-05-10 00:00:00,0.06,0.05
GPRK,2017-03-07 00:00:00,-0.08,-0.14
GPRK,2016-11-14 00:00:00,-0.03,-0.08
GPRK,2016-08-11 00:00:00,-0.11,-0.01
GPRK,2016-05-09 00:00:00,-0.14,-0.15
GPRK,2016-03-10 00:00:00,-0.04,-0.12
GPRK,2015-11-11 00:00:00,-0.14,-0.63
SHCR,2023-03-29 00:00:00,-0.05,nan
SHCR,2023-03-29 00:00:00,-0.05,nan
SHCR,2022-11-10 00:00:00,-0.06,-0.08
SHCR,2022-08-10 00:00:00,-0.06,-0.08
SHCR,2022-05-12 00:00:00,-0.04,-0.11
SHCR,2022-03-31 00:00:00,-0.03,0.02
SHCR,2021-11-10 00:00:00,-0.03,-0.13
SHCR,2021-08-11 00:00:00,-14.62,-8.77
SHCR,2021-06-01 00:00:00,nan,nan
AGFY,2023-03-24 00:00:00,-3.56,nan
AGFY,2022-11-09 00:00:00,-3.8,-17.33
AGFY,2022-08-15 00:00:00,-4.32,-35.1
AGFY,2022-05-11 00:00:00,-3.27,-3.6
AGFY,2022-03-23 00:00:00,-3.1,-5.4
AGFY,2021-11-10 00:00:00,-2.95,-4.7
AGFY,2021-08-12 00:00:00,-2.3,-2.8
AGFY,2021-05-17 00:00:00,-3.15,-3.3
AGFY,2021-04-02 00:00:00,-7.3,-10.8
AGFY,2020-12-22 00:00:00,nan,nan
FOUR,2023-02-28 00:00:00,0.39,0.47
FOUR,2022-11-07 00:00:00,0.43,0.44
FOUR,2022-08-04 00:00:00,0.24,0.33
FOUR,2022-05-05 00:00:00,0.08,0.15
FOUR,2022-03-01 00:00:00,0.19,0.08
FOUR,2021-11-10 00:00:00,0.25,0.26
FOUR,2021-08-05 00:00:00,0.14,0.22
FOUR,2021-05-06 00:00:00,0.01,-0.13
FOUR,2021-03-04 00:00:00,0.02,-0.09
FOUR,2020-11-06 00:00:00,0.05,0.04
FOUR,2020-08-12 00:00:00,-0.53,-0.18
FOUR,2020-06-08 00:00:00,nan,nan
FSM,2023-03-16 00:00:00,0.02,0.02
FSM,2023-03-15 00:00:00,0.02,0.02
FSM,2022-11-09 00:00:00,0.03,0.01
FSM,2022-08-10 00:00:00,0.08,0.01
FSM,2022-05-11 00:00:00,0.1,0.11
